Questions,Category,Bloom Level
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,BT2,Understand
Explain Network stability.,BT1,Remember
List TEN (10) components of an effective crisis communication plan.,BT2,Understand
Explain in brief the exposure time calculation method for screen stencil making process.,BT1,Remember
Write a note on User Interface Design.,BT1,Remember
Discuss in detail with a case history how geological investigations have helped for proper site of Dam.,BT4,Analyze
"Construct a DNA based cladogram using neighbour-joining approach, and suggest the relationship of S, M, and D species. ",BT6,Create
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,BT2,Understand
Explain Intel i860 processor with block diagram.,BT1,Remember
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,BT6,Create
How are polymers classified on the basis of their structure?,BT1,Remember
Discuss the different types of threads used in power screw.,BT1,Remember
Draw a block diagram of electronic energy meter and explain how it operates.,BT2,Understand
Write short note on Self Lubricated Bearing.,BT2,Understand
A concentrated load of 25 kN acts on the surface of homogenous soil mass of large extent. Find the stress intensity at a depth of 8 m by usingBoussinesqâs theory at a horizontal distance of 2.5 m.,BT3,Apply
Draw and explain V to I convertor.,BT1,Remember
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding. ,BT4,Analyze
Illustrate Ziegler Nichols close loop tuning method in detail.,BT2,Understand
Discuss the methods of synthesis of furan and pyrrole.,BT4,Analyze
Comment on flashing in brief and suggest the suitable method used to reduce it.,BT2,Understand
Explain Shell and Tube heat exchanger in detail with neat sketch.,BT4,Analyze
The  results of measurements of electric resistance R of a copper bar at various temperature are listed below.,BT4,Analyze
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,BT2,Understand
Explain the concept of current boosting with necessary diagram.,BT1,Remember
Explain the instruction Formats in 8086 with examples of suitable instructions. What is Operand? Enlist types of operands.,BT1,Remember
The first four moments of distribution about working mean 3.,BT3,Apply
What is interface in java?,BT1,Remember
Define Aquifers. Explain in short the types of aquifers.,BT1,Remember
Describe Exception.,BT1,Remember
Interface DAC 0808 with 8051 Microcontroller.,BT3,Apply
Washer with 12 mm internal hole and 25 mm outside diameter is to be made from a strip of 1 .,BT3,Apply
What is page replacement in operating systems?,BT1,Remember
Give any two points of comparison between LAP winding and WA VE winding for DC machine.,BT1,Remember
What is halftone and how it is created.,BT1,Remember
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",BT5,Evaluate
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",BT3,Apply
Define the functions of Type Checking and Limit Checking in protection.,BT1,Remember
Explain the construction of three phase induction motor?,BT1,Remember
"Compare and contrast the properties of clay brick and calcium silicate brick in terms of crushing strength, moisture movement, durability, appearance, fire resistance, colour, texture, sound and thermal insulation. ",BT4,Analyze
Give detail classification of measuring instruments.,BT1,Remember
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,BT2,Understand
Write a program in C language assign highest priority to INT 1 interrupt.,BT3,Apply
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,BT1,Remember
Give any four examples of Industrial Programming Language.,BT1,Remember
Write a program that returns the size in bytes of a program entered on the command line.,BT4,Analyze
What are different types of ICR?,BT1,Remember
What is Socket?,BT1,Remember
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits. ",BT2,Understand
What do you mean by recursive function?,BT1,Remember
What are the problems of managing data resources in a traditional file environment?,BT1,Remember
Draw a neat labeled sketch of semicircular - arch and show:,BT3,Apply
List the application of microprogramming.,BT1,Remember
Consider the following processes arrival time and burst time are as shown.,BT3,Apply
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,BT2,Understand
Which are various functional units of microprocessors?,BT1,Remember
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,BT2,Understand
Explain working of vertical type wind turbine with neat diagram.,BT1,Remember
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",BT2,Understand
Analyze the beam shown in figure 1 by slope deflection method and draw BMD.,BT4,Analyze
Explain what are factors to be consider for selecetion of span length hence state factors affecting sag of transmission line.,BT4,Analyze
What is the transformation?,BT1,Remember
Calculate the equilibrium level of output for four sectors economy with taxes. ,BT3,Apply
Find Fourier Transform of ()xfx eâ= .,BT3,Apply
Compare late binding & early binding.,BT1,Remember
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,BT2,Understand
Compare SMTP and HTTP.,BT4,Analyze
Sketch the polar plot for.,BT4,Analyze
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,BT2,Understand
A cantilever of length 3 m is carrying a point load of 25 KN at the free end.,BT3,Apply
Ethylene Oxide is produce from oxidation of ethylene.,BT1,Remember
Describe and explain the various methods used for gene transfer to plant cells.,BT4,Analyze
What is Precipitation titration?,BT1,Remember
Draw and explain the general descriptor format available in various descriptor tables.,BT4,Analyze
"A string stretched and fastened between two points L a part. Motion is started by displacing the string in the form y = a sin Lxï° from which it is released at time t = 0. Find the displacement ï¨ï©,.yxt",BT3,Apply
Explain in brief what is Lissajous pattern?,BT1,Remember
Explain the concept of Transaction.,BT1,Remember
Explain demand and supply curve and factors affecting on it.,BT1,Remember
Mention various features of AT mega 328P.,BT1,Remember
Describe the applications of mild steel in construction. ,BT2,Understand
If ten percent of a articles from a certain machine are defective.,BT5,Evaluate
Enlist the steps of protein digestion and absorption in stomach and intestine.,BT1,Remember
Explain Frame Representation with its merits and demerits.,BT1,Remember
List and briefly describe FOUR (4) types of secondary equity markets. ,BT1,Remember
A pipe of 110 mm diameter is carrying water. If the velocities at the pipe center and 30 mm from the pipe centre are 2.1 m/s and 1.6 m/srespectively and flow in the pipe is turbulent. Calculate the shear frictionvelocity and wall shearing stress.,BT3,Apply
"Determine normal, tangential and resultant stresses on a plane at 25Âº with major principal plane. The principal stresses of 120 MPa tensile onmajor principal plane and 50 MPa compressive on minor principal planeare acting at a point on the member.",BT3,Apply
What is namespace? To demonstrate namespace with example.,BT1,Remember
Elaborate the impact of usage of EV on power grid.,BT1,Remember
What do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,BT1,Remember
Explain RIP message format in detail.,BT4,Analyze
Name TWO (2) types of laboratory tests. ,BT1,Remember
Draw and Explain Timer counter of 8051 in detail.,BT2,Understand
Briefly explain any TWO (2) security objectives of audit trails. ,BT2,Understand
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",BT4,Analyze
Explain in detail Microprogram Sequencing.,BT2,Understand
Define organizational culture according to Schein (1990). ,BT1,Remember
Explain in detail concept of maximum heat flux and critical temperature drop.,BT4,Analyze
Explain concept of Interface and implementation in detail with example.,BT2,Understand
What is ADT? Explain stack as an ADT.,BT1,Remember
Identify THREE (3) types of mortar used in wall construction. ,BT2,Understand
Explain Steps to receive Data Serially in 8051 microcontroller.,BT1,Remember
"Marketers theorize that just as humans pass through stages in life from infancy to old age, products also pass through a product life cycle. Explain all FOUR (4) stages of a product life cycle. ",BT2,Understand
"List the five groupings of amino acids based on the R groups, Give one example for each group. ",BT2,Understand
Explain Friend function with example.,BT1,Remember
What is microprocessor?,BT1,Remember
Comment on cavitation in brief and suggest the method to reduce it.,BT2,Understand
A river is 80m wide. The depth d in meters at a distance x meters from one bank is given in the following table,BT3,Apply
Explain the supercharging with neat sketch.,BT1,Remember
Identify SIX (6) factors to be considered when designing layout. ,BT1,Remember
Design 2 bit synchronous up counter using MS JK flipflop.,BT1,Remember
What are various types of air conditioning systems?,BT1,Remember
A cup of 60 mm diameter 60 mm and height is to be drawn from 1 mm thick cold rolled steel with tensile strength 410 MPa.,BT3,Apply
Explain functional units of computer.,BT1,Remember
Enlist the various benefits of EV A to any project.,BT2,Understand
What are types of phase diagram?,BT1,Remember
Explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage. ,BT2,Understand
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,BT5,Evaluate
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,BT2,Understand
State the following properties of CTFT.,BT2,Understand
State the classification and applications of Photogrammetry in surveying?,BT1,Remember
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",BT2,Understand
Explain the advantages of HMI.,BT1,Remember
Give the property of line insulator and explain anyone.,BT1,Remember
Explain the importance of visual in a poster design. ,BT2,Understand
Write a program to create files using constructor function.,BT1,Remember
Design a practical integrator with input signal of 2VPP and cutoff frequency of 2.5 kHz. for DC voltage gain to 10.,BT3,Apply
Discuss the importance of Philip Crosby's suggestion on âdo it right the first timeâ by manufacturing company. ,BT2,Understand
Explain three (3) ways in which JIT and quality are related. ,BT2,Understand
What is significant depth and pressure bulb?,BT1,Remember
Enterprise Application and explain with examples.,BT1,Remember
A 250 V DC shunt motor with armature resistance of 0.,BT3,Apply
Explain reading character and string from input console with suitable examples.,BT2,Understand
Define bronze and explain in brief types of bronze with suitable examples.,BT1,Remember
List out the properties of Continuous time Fourier Transform.,BT3,Apply
Compare cycloidal and involute gear tooth profile.,BT4,Analyze
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,BT2,Understand
The foundation is the base on which a building rest and its purpose is to safely transfer the load of a building to a suitable subsoil. Identify the specified bearing loads and give the explanations for each bearing load.,BT2,Understand
Construct the backward difference table for the following data.,BT3,Apply
What are the limitations of Fourier series.,BT2,Understand
Explain Coriolis Component of Acceleration.,BT2,Understand
Explain on the Psychrometric Chart following Processes.,BT1,Remember
A perfect die is thrown. Find the probability that,BT3,Apply
What is basic principle of metal cutting?,BT1,Remember
Write in short about dialysis and size exclusion chromatography.,BT1,Remember
What is cohesion and coupling?,BT1,Remember
Distinguish between hot and cold foil stamping.,BT4,Analyze
Explain extrusion process for thermoplastic plastics.,BT1,Remember
Derive an expression for the capacitance to neutral of a three phase line with equilateral spacing.,BT4,Analyze
"Differentiate among âexternal wall', 'internal wall' and 'parapet'. ",BT4,Analyze
Explain any two types of memories.,BT1,Remember
Describe the electrokinetic phenomenon. ,BT2,Understand
A DC Shunt motor develops output power of 7355 watt and runs at 700 rpm. It is connected across 400 volt DC supply and draws a current of23 Ampere. The mechanical and iron losses are 735.5 Watt.,BT3,Apply
Write a short note on Velocity Profile optimization in DC Motor?,BT1,Remember
Difference between Rankin cycle and Carnot cycle.,BT1,Remember
Describe the block diagram of programmable IC 8253.,BT1,Remember
Calculate the optimal size of the production run. ,BT3,Apply
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,BT6,Create
Explain the factors for selection of motor for an EV .,BT1,Remember
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,BT3,Apply
Define steel?,BT1,Remember
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,BT3,Apply
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,BT1,Remember
Compare under and over exposure and optimum exposure for screen stencil making process.,BT4,Analyze
Explain how the wind pattern affects power generation in wind energy systems.,BT1,Remember
State the significance of back emf in dc motor.,BT2,Understand
Draw circuit diagram of first order wide band stop filter with its frequency response.,BT2,Understand
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",BT2,Understand
Analyze FIVE (5) disadvantages of multimedia in education. ,BT4,Analyze
Write short note on : Producer-consumer Problem.,BT1,Remember
Write following C functions in SLL:,BT3,Apply
"In your opinion, which parental group selected will give a higher gain in Kaseem's breeding programme. Show the calculation and justify your answer. ",BT5,Evaluate
Explain working of IC 555 as astable multivibrator.,BT2,Understand
Explain the working of Half wave Precision Rectifier with appropriate equations.,BT2,Understand
List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,BT2,Understand
What are the assumption of BET theory of adsorption?,BT1,Remember
A pressure vessel is required to have a capacity of 20 m 3.,BT3,Apply
What is adsorption isotherm?,BT1,Remember
A fluid of viscosity 0.,BT1,Remember
Find the slope of the free water surface in a rectangular channel of width 20m having depth of flow 6m.,BT3,Apply
Explain theory of stadia tacheometry?,BT2,Understand
What observations and precautions are necessary during Core Drilling for Preliminary Geological Exploration?,BT1,Remember
Discusst the speedup and scaleup issue in parallelism with suitable diagram.,BT1,Remember
Write note on stiffness method and write elements of displacement matrix for following figure.,BT1,Remember
A pressure vessel having outer diameter 1.,BT1,Remember
What do you mean by concrete mix design? What are the objectives in mix design?,BT1,Remember
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,BT1,Remember
Draw the block diagram of IC PCL 565 and explain in detail.,BT1,Remember
Enlist various linear methods of setting out curves and explain any one with sketch.,BT2,Understand
Explain the terms.,BT2,Understand
Determine shape factor for Circular section having diameter d in m.,BT4,Analyze
Explain any two parallel Database System Architecture in detail.,BT1,Remember
Describe in detial  Read Only Memory (ROM).,BT1,Remember
"A site is proposed for excavation of tunnel is A-B and M-N, which is passing through axis and limb region of fold respectively. Justify thesuitability of tunnel is such conditions.",BT4,Analyze
How do you express the life of a bearing?,BT1,Remember
The option's premium represents the price of the option that change over time. Discuss FOUR (4) factors that affecting premium of an option.,BT2,Understand
Whta is Backface?,BT1,Remember
What is Morphing and write the applications of Morphing.,BT1,Remember
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.â Comment and justify the above statement with an appropriate diagram. ",BT5,Evaluate
Describe the classification of dyes on the basis of chemical structure.,BT2,Understand
Define Mineral.,BT1,Remember
Explain how memories are classified based on physical characteristics.,BT1,Remember
Explain the working of a half-adder? Draw its logic diagram.,BT1,Remember
Explain steps involved in the stability analysis of slopes by method of slices.,BT1,Remember
Explain coriolis component of acceleration with neat sketch.,BT1,Remember
State reactions take place in catalytic reforming process.,BT1,Remember
Compare single phase HWR and single phase FWR.,BT1,Remember
Explain the feedback compensator with example.,BT1,Remember
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,BT2,Understand
Find Laplace Transform of the waveform given in Fig No.,BT3,Apply
Draw circuit diagram of practical integrator and explain its frequency response in detail.,BT2,Understand
Show that ï¨ï© ï¨ï© ï¨ï©22 22 22ËË Ë Fi xy xz yx yz j zx zy kï½ï« ï«ï« ï«ï«ï² is irrotational. Find scalar ï¦ such that F.ï¦ï½ïï²,BT4,Analyze
What are different data fragmentation techniques in distributed databases?,BT1,Remember
What is risk identification?,BT1,Remember
How landslides can be prevented?,BT3,Apply
Explain the procedure for finding slope and deflection for a cantilever beam with a point load at free end Double integration method.,BT4,Analyze
Explain different drainage conditions in triaxial test.,BT1,Remember
Consider Following circular queue of characters and size 5.,BT3,Apply
Explain the function of bit TF0 in TCON register and write a program in C language to start timer 0.,BT3,Apply
Compare python list and linked lists.,BT1,Remember
Write an algorithm of B tree deletion.,BT1,Remember
Define Industrial Engineering and state its History and Development.,BT1,Remember
What are the qualities of good drug?,BT1,Remember
Explain theory of stadia tacheometry.,BT2,Understand
A three phase transmission line has its conductors at the corner of equilateral triangle with side of 3 meter.,BT4,Analyze
Describe the principles of a coupled enzyme assay. ,BT2,Understand
State advantages and disadvantages of LFP Battery.,BT1,Remember
Find the Inverse Fourier Transform using partial fraction expansion.,BT3,Apply
Explain standalone renewable system with neat diagram.,BT2,Understand
Explain Design issues of Super scalar processor.,BT2,Understand
Explain with example:,BT1,Remember
Describe Impressionism art style. ,BT1,Remember
Explain objectives of cladding.,BT2,Understand
Write a note on setting  out a building?,BT1,Remember
Write short note on nervous tissue.,BT1,Remember
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,BT2,Understand
Write a program which demonstrate constructor with default arguments.,BT3,Apply
Obtain the approximate equivalent circuit diagrams fo 3-ph induction motor step by step. Label it & state the meaning of each nomenclatureused.,BT1,Remember
Explain all the elements of multimedia with examples. ,BT2,Understand
What are the measure of query cost?,BT1,Remember
Explain the concept of stream in Java?,BT2,Understand
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,BT2,Understand
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",BT2,Understand
State the following properties of CTFS.,BT1,Remember
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,BT2,Understand
Describe the working principle of capacitive humidity sensors with diagram.,BT2,Understand
Briefly explain how clay particles and soil organisms influence soil structure. ,BT2,Understand
Define probability. Also write the properties of probability.,BT1,Remember
State the following properties of DT fourier series.,BT1,Remember
What are the different types of muscle tissues?,BT1,Remember
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",BT2,Understand
Find the maximum flow in the given network.,BT1,Remember
"In all analysis methods, the effects of turbulence have to be modeled unless all the scales of motion are represented explicitly as in Direct Numerical Simulation (DNS). Explain why it is not practical to analyze flows in practical hydraulic engineering by DNS. ",BT2,Understand
List the various method of conversion compare them and which one is fastest.,BT1,Remember
Explain any 3 Welding defects along with remedies.,BT1,Remember
Two tangents intersects at a chain age of 150.5 m the intersection angle 150Â° calculate the following quantities for setting out all curves of radius 100m .,BT3,Apply
Explain the various modes of heat transfer with suitable real life examples.,BT1,Remember
"Using an appropriate example, describe how competitive ELISA works. ",BT2,Understand
Explain the working of Electronic Ignition system with neat sketch.,BT2,Understand
Determine the z parameters for the circuit shown in Fig.,BT3,Apply
Write program to handle primitive data types in file handling.,BT3,Apply
Find the driving point impedance Z11 (s) for the network shown in Fig. 10,BT3,Apply
Discuss why the fertility program for potted plants is different from field crops. ,BT2,Understand
What is buffer register?,BT1,Remember
Describe in brief any one method for the speed control of a three phase induction motor.,BT1,Remember
Explain the working principle of practical integrator circuit with neat circuit diagram and derivation of output equation.,BT2,Understand
Compare diode rectifier with precision rectifier.,BT4,Analyze
The diameter of an impeller of a centrifugal pump at inlet and outlet are 300 mm and 600 mm respectively.,BT3,Apply
"Among 64 off springs of a certain cross between European horses 34 were red, 10 were black and 20 were white. According to a genetic model these numbers should be in the ratio 9:3:4. Is the data consistentwith the model at 5% level of significance? Take  2 2;0.05 5.991ï£ï½",BT3,Apply
Evaluate the principal stresses and principal planes for the state of stress shown in Figure.,BT3,Apply
Write down the equations for Following circuits.,BT1,Remember
Briefly explain the main feature of the structures of dilute foams and concentrated foams. ,BT2,Understand
Describe the flow of MOET procedures in cattle breeding. ,BT2,Understand
Describe Material Extrusion process in short.,BT1,Remember
What are the check points in cell cycle?,BT1,Remember
Explain with neat block diagram IC V oltage Regulator.,BT1,Remember
Define Queue and explain any one application of Queue.,BT1,Remember
Explain the procedure of Fixing door and window in detail?,BT3,Apply
Write a short note on - C60.,BT1,Remember
When do deadlock happens?,BT1,Remember
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,BT2,Understand
Describe âmechanism-based inhibitorsâ. ,BT2,Understand
"With necessary diagram, classify magnetic materials on the basis of magnetic dipole moment and magnetic susceptibility.",BT1,Remember
Draw a neat and labeled diagram showing electrons transport chain.,BT1,Remember
Draw and explain voltage series feedback amplifier and list their advantages.,BT1,Remember
State Different names of satellites and Write a note on GLONASS (Global Navigation and Surveying System).,BT1,Remember
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM). ,BT2,Understand
Write a program to implement the Linked list operations.,BT3,Apply
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,BT2,Understand
Bag 1 contains 2 white and 3 red balls.,BT1,Remember
Compare direct and indirect methods of subsurface geological investigations.,BT4,Analyze
Discuss the disadvantages of LOCOS. ,BT2,Understand
Analyse the frame shown in figure 10 by stiffness method and draw bending moment diagram.,BT4,Analyze
Consider the following Book Relation.,BT1,Remember
Describe the types of a servo motor.,BT1,Remember
Define the following terms:,BT1,Remember
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,BT2,Understand
Draw and explain torque-Slip characteristics of 3 phase induction motor with respective mathematical expressions. Clearly mark the two regionsand point of maximum torque and starting torque,BT1,Remember
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,BT2,Understand
How to perform loading and unloading of parts in machining operations using robots?,BT3,Apply
Two straights AB and BC meet at chainage of 3450 m.,BT3,Apply
"Find f(10) of the cubic function passing through the points (4,â43) (7,83) (9,327) and (12,1053) using Newtons divided difference formula.",BT3,Apply
What do you understand by relative humidity of air?,BT1,Remember
Write a short note on Glass and its types.,BT3,Apply
Describe how soil surface roughness affects both water and wind erosion. Suggest ways to increase roughness to reduce erosion. ,BT6,Create
Explain the applications of Virtual Reality systems.,BT1,Remember
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,BT4,Analyze
What are the objectives of testing?,BT1,Remember
What is accelerometer?,BT1,Remember
A solution of 3.,BT1,Remember
Explain rate method for control of corrosion.,BT4,Analyze
Probability of man aged 60 years will live for 70 years is 1 10.,BT1,Remember
Provide arguments on how these investment strategies help in maintaining market efficiency. ,BT2,Understand
Explain CAD geometry cleanup and tools used for it.,BT1,Remember
Analyse the continuous beam ABC as shown in figure below using three moment theorem.,BT4,Analyze
Explain the working of Pirani Gauge for measurement of pressure.,BT3,Apply
Discuss the negative effects of advertising on children. ,BT2,Understand
Draw and explain general structure of PAL.,BT1,Remember
Briefly explain FOUR (4) advantages and disadvantages of option trading. ,BT2,Understand
What is system testing?,BT1,Remember
Two straights PI and QI meet at chainage of 1250 m. A right handed simple circular curve of 250 m radius joins them. The deflection anglebetween two straights is 30 Â°. Tabulate the necessary data to layout the curve by Offset from long chord. Take chord interval as 10 m.,BT3,Apply
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",BT1,Remember
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,BT4,Analyze
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,BT2,Understand
Using Laplace transform solve the D.,BT3,Apply
Derive the torque equation of dynamometer type wattmeter. Explain the errors and its compensation in dynamometer type wattmeter.,BT1,Remember
What do you mean by adjacency matrix and adjacency list? Give the adjacency matrix and adjacency list for the graph shown below:,BT1,Remember
Give THREE disadvantages of X-Ray Photoelectron Spectroscopy (XPS). ,BT2,Understand
What is a container?,BT1,Remember
Explain the Standard Marking System of a grinding wheels.,BT1,Remember
Explain gesture  interfaces in Virtual Reality.,BT1,Remember
Estimate the value of the roughness parameter of the riverbed from the observed surface slope and velocity. Compare your computed value with generally known values for the present river bed. ,BT4,Analyze
Explain Classification of channel bottom slopes with neat sketches.,BT1,Remember
What are the disadvantages of the linear queue?,BT1,Remember
How test strategies for object oriented software are different from that of conventional software?,BT4,Analyze
Soil algae and protozoa are usually restricted at the uppermost soil layers and smaller than their aquatic counterparts. Justify. ,BT5,Evaluate
Differentiate between followings.,BT1,Remember
What is fouling?,BT1,Remember
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,BT2,Understand
Explain how the affinity of hemoglobin for oxygen is regulated. ,BT2,Understand
Explain the function of LM 317 as adjustable voltage regulator.,BT1,Remember
What is meant by system calls in operating system?,BT1,Remember
Draw and discuss the motion balance system.,BT2,Understand
What are heat capacities at constant volume and constant pressure?,BT1,Remember
What do you mean by memory management operator?,BT1,Remember
Derive the equation for lateral earth pressure in active state for dry cohesionless backfill with uniform surcharge.,BT4,Analyze
Explain FOUR (4) benefits of mutual fund investment. ,BT2,Understand
Explain Serial port structure of 8051 microcontroller.,BT1,Remember
A concentrated load of 25 kN acts on the surface of homogeneous soil mass of large extend.,BT3,Apply
Briefly illustrate FOUR (4) influences of carbon on metal. ,BT2,Understand
Distinguish between 'differential foundation settlement' and 'uniform foundation settlement'.,BT4,Analyze
Define  the following terms.,BT2,Understand
Explain different collapse mechanisms in plastic analysis with diagram.,BT1,Remember
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,BT1,Remember
Explain working of flash ADC in details.,BT2,Understand
Describe different types of seismic waves in detail.,BT1,Remember
"Find bilinear transformation which maps the points 1, i, â1 of z-plane onto the points 0, 1, â of w-plane.",BT3,Apply
Explain any three methods of taper turning with neat sketches.,BT1,Remember
Explain Risk identification process?,BT4,Analyze
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,BT2,Understand
What do you mean by Engineering plastics?,BT1,Remember
What are different Process management system calls in Linux.,BT1,Remember
A horizontal venturimeter with inlet and throat diameter 30cm and 15cm resp is used to measure the flow rate of water.,BT3,Apply
"In a magnetic material, hysteresis loss is 150 W when maximum flux density of 1.3 tesla and frequency is 50 Hz. What would be hysteresisloss if flux density is decreased to 0.8 tesla and frequency is increased to 60 Hz? Assume that hysteresis loss is proportional to (B m)1.7.",BT3,Apply
A steel column of 4m long and of 100mm diameter is fixed at one end and free at other end.,BT5,Evaluate
Support your answers with ONE (1) example in everyday life for EACH theory. ,BT5,Evaluate
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,BT2,Understand
Describe no load and blocked rotor test conducted on 3 phase induction motor with suitable circuit diagram write down the calculations involved.,BT2,Understand
Find angle between the tangents to the curve 232 rt i t jt kï½ï«ï­ at the points t = 1 and t = â1.,BT3,Apply
Compare gang drilling and multispindle drilling machines.,BT4,Analyze
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,BT2,Understand
What are the basic performance issues in pipelining.,BT1,Remember
Write short notes on the following.,BT1,Remember
Briefly describe the stages involved in sequence assembly for the whole genome shotgun methodology. ,BT2,Understand
Explain Economizer.,BT1,Remember
Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation. ,BT6,Create
What is CAD customization?,BT1,Remember
Explain Nucleonic method for level measurement with suitable diagram.,BT3,Apply
A series RL circuit in Fig No.,BT3,Apply
Write a short note on Organic Protective Coatings?,BT1,Remember
"Related party transaction is a transaction entered into by a PLC or its subsidiaries, which involved the interest of the related party. Justify the reasons for disclosure of related party transaction. ",BT5,Evaluate
Explain class template and function template with example.,BT1,Remember
A 6pole DC motor with wave connected armature has 87 slots with 6 conductors per slot.,BT3,Apply
Where are semiconductors used?,BT1,Remember
Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance. ,BT4,Analyze
Explain various parts and any two types of faults with neat sketches.,BT1,Remember
Identify the type of crisis based on time as a critical variable. ,BT2,Understand
Enlist  various linear methods of setting out curves and explain any one with sketch.,BT1,Remember
Determine maximum slope and deflection for a simply supported beam shown in figure below.,BT3,Apply
Explain ferromagnetic and ferrimagnetic material and their  application.,BT2,Understand
Define Industrial Engineering.,BT1,Remember
With neat pin diagram explain function of each pin of IC 741,BT1,Remember
With a neat block diagram explain AC current measurement using 8051 microcontroller.,BT2,Understand
Interpret FIVE (5) emerging trends of technology application in education. ,BT2,Understand
Explain Gauss Seidel method for solution of simultaneous equation.,BT2,Understand
What is mean by Governing system and explain all types of governing systems?,BT1,Remember
What are the types of chips formed during metal cutting?,BT1,Remember
A composite shaft consist of copper rod of 20 mm diameter enclosed in a steel tube of 60 mm external diameter and 20 mm thick.,BT3,Apply
Explain any three sheet metal working operations with their working.,BT1,Remember
